Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.000520956242963523,8.45411622954768E-05,-0.0356067842058022,0,0,0,0.482842194339229,0.000194240598825084,-7.77310764175358E-07,8.18742788121351E-08,0.000196781812254623,2.32046957010999E-07,0.000232479084213756,0,0,0,0,0,0,package://PiPlusPro_S_12L10A2G2H1W_ZedMini_260322/meshes/base_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://PiPlusPro_S_12L10A2G2H1W_ZedMini_260322/meshes/base_link.STL,,base_link-1,base_link,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
r_hip_pitch_link,-0.00237741595842589,-0.028549790279563,-3.60621675460915E-05,0,0,0,0.184722419107043,7.79455163303703E-05,2.27331412829698E-09,-1.64443650716957E-07,5.41951025226766E-05,5.55129444278122E-07,7.28944640192829E-05,0,0,0,0,0,0,package://PiPlusPro_S_12L10A2G2H1W_ZedMini_260322/meshes/r_hip_pitch_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://PiPlusPro_S_12L10A2G2H1W_ZedMini_260322/meshes/r_hip_pitch_link.STL,,r_hip_pitch_link-2,r_hip_pitch_link,A_r_hip_pitch_link,r_hip_pitch_joint,revolute,0,-0.0475,-0.0435,0,0,0,base_link,0,1,0,21,7.12,0,0,,,,,,,,
r_hip_roll_link,0.00239381503847515,-0.000558775356448896,-0.0427028295284716,0,0,0,0.261271771657566,0.000177524010796839,1.51267726645686E-07,-3.61194351359211E-07,0.000147012114291392,-6.58773939852699E-07,0.00012699762955379,0,0,0,0,0,0,package://PiPlusPro_S_12L10A2G2H1W_ZedMini_260322/meshes/r_hip_roll_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://PiPlusPro_S_12L10A2G2H1W_ZedMini_260322/meshes/r_hip_roll_link.STL,,r_hip_roll_link-1,r_hip_roll_link,A_r_hip_roll_link,r_hip_roll_joint,revolute,0,-0.034,0,0,0,0,r_hip_pitch_link,1,0,0,21,7.12,0,0,,,,,,,,
r_thigh_link,0.000645651844951817,-0.000752014412410726,-0.0208405327144657,0,0,0,0.154842989545592,6.26418716694171E-05,2.88582795984968E-07,8.21552310637413E-07,8.15119260395792E-05,-3.35876468236188E-07,5.48720686034942E-05,0,0,0,0,0,0,package://PiPlusPro_S_12L10A2G2H1W_ZedMini_260322/meshes/r_thigh_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://PiPlusPro_S_12L10A2G2H1W_ZedMini_260322/meshes/r_thigh_link.STL,,r_thigh_link-1,r_thigh_link,A_r_thigh_link,r_thigh_joint,revolute,-0.00035,0,-0.0974,0,0,0,r_hip_roll_link,0,0,1,21,7.12,0,0,,,,,,,,
r_calf_link,-2.78250679201469E-05,0.00295406263583747,-0.060579034971109,0,0,0,0.308705515795263,0.000102577106547173,-9.46566695554157E-08,6.19473220579751E-07,0.000128780539516323,-5.59345426334405E-07,7.32991149327305E-05,0,0,0,0,0,0,package://PiPlusPro_S_12L10A2G2H1W_ZedMini_260322/meshes/r_calf_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://PiPlusPro_S_12L10A2G2H1W_ZedMini_260322/meshes/r_calf_link.STL,,r_calf_link-1,r_calf_link,A_r_calf_link,r_calf_joint,revolute,0,0,-0.045,0,0,0,r_thigh_link,0,1,0,21,7.12,0,0,,,,,,,,
r_ankle_pitch_link,0.00503044360119933,0.000513451102339357,-0.000166854130887795,0,0,0,0.163526341877327,3.2676456502646E-05,1.45364507996071E-13,3.43844311752086E-08,6.61304449251955E-05,1.77415122948269E-08,6.54513698979316E-05,0,0,0,0,0,0,package://PiPlusPro_S_12L10A2G2H1W_ZedMini_260322/meshes/r_ankle_pitch_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://PiPlusPro_S_12L10A2G2H1W_ZedMini_260322/meshes/r_ankle_pitch_link.STL,,r_ankle_pitch_link-1,r_ankle_pitch_link,A_r_ankle_pitch_link,r_ankle_pitch_joint,revolute,0,0,-0.14,0,0,0,r_calf_link,0,1,0,21,7.12,0,0,,,,,,,,
r_ankle_roll_link,-0.0102834035589408,2.11796755089505E-05,-0.0229147611331157,0,0,0,0.334551976045135,0.000248629230380396,-6.75310276312292E-08,8.25466828415299E-05,0.000610651457214526,-2.67229203932969E-07,0.00059523793403957,0,0,0,0,0,0,package://PiPlusPro_S_12L10A2G2H1W_ZedMini_260322/meshes/r_ankle_roll_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://PiPlusPro_S_12L10A2G2H1W_ZedMini_260322/meshes/r_ankle_roll_link.STL,,r_ankle_roll_link-1,r_ankle_roll_link,A_r_ankle_roll_link,r_ankle_roll_joint,revolute,0.051,0,0,0,0,0,r_ankle_pitch_link,1,0,0,21,7.12,0,0,,,,,,,,
l_hip_pitch_link,-0.00237733221293719,0.0285494771820507,-0.00012612986428201,0,0,0,0.184726591260136,7.7948570689156E-05,-2.12889431088599E-09,-1.31268855240189E-07,5.41956586069551E-05,-1.07355600442501E-07,7.2897760683304E-05,0,0,0,0,0,0,package://PiPlusPro_S_12L10A2G2H1W_ZedMini_260322/meshes/l_hip_pitch_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://PiPlusPro_S_12L10A2G2H1W_ZedMini_260322/meshes/l_hip_pitch_link.STL,,l_hip_pitch_link-1,l_hip_pitch_link,A_l_hip_pitch_link,l_hip_pitch_joint,revolute,0,0.0475,-0.0435,0,0,0,base_link,0,1,0,21,7.12,0,0,,,,,,,,
l_hip_roll_link,0.00208841678046966,0.000191987044128691,-0.0427027666306903,0,0,0,0.26127113269355,0.000177523644630787,2.97925845385146E-07,-1.57309848450111E-06,0.00014701211876723,3.74931062790093E-07,0.000126997284061331,0,0,0,0,0,0,package://PiPlusPro_S_12L10A2G2H1W_ZedMini_260322/meshes/l_hip_roll_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://PiPlusPro_S_12L10A2G2H1W_ZedMini_260322/meshes/l_hip_roll_link.STL,,l_hip_roll_link-1,l_hip_roll_link,A_l_hip_roll_link,l_hip_roll_joint,revolute,0,0.034,0,0,0,0,l_hip_pitch_link,1,0,0,21,7.12,0,0,,,,,,,,
l_thigh_link,0.000715881734631673,0.000752184290220198,-0.0208405610753497,0,0,0,0.1548427981368,6.26415180092302E-05,-5.03833405245363E-07,8.69332969777937E-07,8.15118437991319E-05,3.35942860886194E-07,5.48719748647376E-05,0,0,0,0,0,0,package://PiPlusPro_S_12L10A2G2H1W_ZedMini_260322/meshes/l_thigh_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://PiPlusPro_S_12L10A2G2H1W_ZedMini_260322/meshes/l_thigh_link.STL,,l_thigh_link-1,l_thigh_link,A_l_thigh_link,l_thigh_joint,revolute,-0.00035,0,-0.0974,0,0,0,l_hip_roll_link,0,0,1,21,7.12,0,0,,,,,,,,
